Year;Type;Country;Activity;Sex;Age;Fatal;Time;Species
2007;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Morning;Medium
2009;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2015;Unprovoked;AUSTRALIA;Surfing;M;Adult;Y;Morning;Medium
2002;Provoked;USA;Fishing;M;Adult;Y;Night;Medium
1963;Unprovoked;GREECE;Swimming;F;Adult;Y;Afternoon;Medium
1999;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Afternoon;Medium
2015;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Afternoon;Medium
2016;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Small
1992;Unprovoked;USA;Surfing;F;Adult;N;Midday;Small
2014;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Midday;Medium
1960;Unprovoked;USA;Swimming;M;Adult;N;Midday;Small
2001;Unprovoked;USA;Diving;M;Adult;Y;Midday;Small
2007;Unprovoked;AUSTRALIA;Surfing;F;Adult;N;Morning;Small
1997;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Morning;Big
1994;Unprovoked;USA;Diving;M;Adult;Y;Morning;Big
2008;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Morning;Small
1958;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Morning;Small
2007;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
2015;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Small
2012;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Small
2009;Provoked;USA;Swimming;F;Adult;N;Afternoon;Small
1941;Provoked;USA;Fishing;M;Adult;N;Afternoon;Medium
2008;Provoked;AUSTRALIA;Swimming;M;Adult;N;Afternoon;Medium
2013;Provoked;USA;Surfing;M;Adult;N;Afternoon;Small
1994;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Big
2001;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Afternoon;Medium
1990;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Medium
2013;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Medium
1999;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Medium
2008;Unprovoked;CROATIA;Fishing;M;Adult;N;Midday;Big
2011;Unprovoked;SOUTH AFRICA;Swimming;M;Adult;N;Midday;Big
2014;Unprovoked;USA;Fishing;M;Adult;N;Midday;Medium
1966;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Midday;Small
2014;Provoked;AUSTRALIA;Fishing;M;Adult;N;Morning;Small
1970;Unprovoked;MICRONESIA;Diving;M;Adult;N;Morning;Medium
2002;Unprovoked;BAHAMAS;Surfing;M;Adult;N;Morning;Medium
2006;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
1999;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2012;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2015;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Small
2015;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
2000;Unprovoked;USA;Surfing;F;Adult;N;Afternoon;Medium
1990;Provoked;USA;Navigating;M;Adult;N;Afternoon;Medium
1975;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Big
2001;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Afternoon;Medium
2012;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Afternoon;Medium
2014;Unprovoked;USA;Surfing;M;Adult;N;Midday;Small
2003;Unprovoked;NEW ZEALAND;Diving;M;Adult;N;Morning;Medium
2005;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Morning;Medium
2004;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2005;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2000;Unprovoked;USA;Swimming;M;Adult;N;Morning;Medium
2015;Unprovoked;USA;Swimming;M;Adult;N;Morning;Small
2005;Provoked;USA;Diving;M;Adult;N;Afternoon;Medium
2013;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Medium
2001;Unprovoked;USA;Surfing;M;Adult;N;Evening;Small
1995;Unprovoked;USA;Swimming;M;Adult;N;Evening;Small
1974;Unprovoked;USA;Diving;M;Adult;N;Morning;Big
1996;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2004;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2013;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2006;Provoked;AUSTRALIA;Diving;M;Adult;N;Afternoon;Small
1985;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Medium
2013;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Medium
2008;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Afternoon;Medium
2017;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Small
2009;Provoked;TAIWAN;Fishing;M;Adult;N;Evening;Medium
1986;Unprovoked;SOUTH AFRICA;Swimming;M;Adult;N;Evening;Small
1992;Unprovoked;USA;Navigating;M;Adult;N;Midday;Big
2013;Unprovoked;NEW ZEALAND;Swimming;M;Adult;Y;Midday;Medium
2004;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Morning;Big
2012;Unprovoked;MEXICO;Diving;M;Adult;N;Morning;Medium
2010;Unprovoked;EGYPT;Diving;M;Adult;N;Morning;Medium
2001;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Medium
2015;Unprovoked;AUSTRALIA;Diving;M;Adult;Y;Morning;Medium
2010;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Small
1997;Unprovoked;FIJI;Diving;F;Adult;N;Afternoon;Medium
2002;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Afternoon;Big
2000;Unprovoked;FIJI;Swimming;M;Adult;Y;Afternoon;Big
2015;Unprovoked;REUNION;Surfing;M;Adult;N;Afternoon;Medium
2002;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
2004;Unprovoked;USA;Swimming;M;Adult;N;Evening;Small
2000;Unprovoked;USA;Swimming;M;Adult;N;Midday;Small
1996;Unprovoked;AUSTRALIA;Swimming;F;Adult;N;Morning;Medium
1995;Unprovoked;JAPAN;Diving;M;Adult;Y;Morning;Big
1989;Unprovoked;ITALY;Diving;M;Adult;Y;Morning;Big
2005;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
1983;Unprovoked;SOUTH AFRICA;Swimming;M;Adult;N;Morning;Small
2010;Unprovoked;EGYPT;Diving;F;Adult;N;Afternoon;Medium
1948;Provoked;USA;Diving;M;Adult;N;Afternoon;Small
1974;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Big
2012;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Afternoon;Big
1960;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Medium
2010;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Medium
2011;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Afternoon;Medium
1942;Unprovoked;BAHAMAS;Swimming;M;Adult;N;Evening;Small
2007;Unprovoked;BAHAMAS;Fishing;F;Adult;N;Midday;Medium
2007;Unprovoked;BAHAMAS;Fishing;F;Adult;N;Morning;Small
2013;Unprovoked;FRENCH POLYNESIA;Diving;M;Adult;N;Morning;Medium
2000;Unprovoked;SOUTH AFRICA;Diving;M;Adult;N;Morning;Medium
2002;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2016;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2017;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2017;Unprovoked;INDONESIA;Surfing;M;Adult;N;Morning;Small
2016;Unprovoked;USA;Swimming;M;Adult;N;Morning;Small
1969;Provoked;AUSTRALIA;Fishing;M;Adult;N;Afternoon;Medium
2011;Unprovoked;AUSTRALIA;Diving;M;Adult;Y;Afternoon;Big
2011;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
2009;Unprovoked;NEW ZEALAND;Swimming;M;Adult;N;Afternoon;Small
1962;Provoked;PAPUA NEW GUINEA;Fishing;M;Adult;N;Midday;Medium
1990;Unprovoked;USA;Diving;M;Adult;N;Midday;Big
2010;Provoked;USA;Fishing;M;Adult;N;Morning;Small
2000;Unprovoked;AUSTRALIA;Swimming;M;Adult;Y;Morning;Big
2009;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2008;Unprovoked;MEXICO;Surfing;M;Adult;N;Morning;Medium
2008;Unprovoked;BAHAMAS;Diving;M;Adult;Y;Morning;Medium
2006;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
2011;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;Y;Morning;Small
2015;Unprovoked;USA;Surfing;F;Adult;N;Afternoon;Medium
2004;Unprovoked;USA;Diving;M;Adult;Y;Afternoon;Big
2012;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Medium
2011;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Afternoon;Small
1990;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
2013;Provoked;FRANCE;Fishing;M;Adult;N;Evening;Small
2003;Unprovoked;USA;Swimming;F;Adult;Y;Morning;Big
2009;Unprovoked;EGYPT;Diving;F;Adult;Y;Morning;Medium
1998;Unprovoked;USA;Surfing;M;Adult;N;Morning;Big
2014;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2017;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2014;Unprovoked;AUSTRALIA;Swimming;M;Adult;Y;Morning;Medium
2003;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
1997;Unprovoked;USA;Surfing;M;Adult;N;Night;Small
1999;Unprovoked;USA;Swimming;F;Adult;N;Afternoon;Medium
2012;Unprovoked;USA;Swimming;F;Adult;N;Afternoon;Medium
2016;Unprovoked;USA;Swimming;F;Adult;N;Afternoon;Medium
1989;Provoked;USA;Fishing;M;Adult;N;Afternoon;Medium
2013;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Afternoon;Medium
2014;Unprovoked;REUNION;Surfing;M;Adult;N;Afternoon;Medium
2003;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Medium
1993;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Afternoon;Small
2008;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Midday;Medium
2004;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2011;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2008;Unprovoked;AUSTRALIA;Diving;M;Adult;Y;Morning;Small
2005;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Afternoon;Big
2014;Provoked;USA;Fishing;M;Adult;N;Evening;Small
2008;Unprovoked;USA;Surfing;M;Adult;N;Evening;Small
2007;Unprovoked;AUSTRALIA;Surfing;F;Adult;N;Morning;Medium
2001;Provoked;USA;Fishing;M;Adult;N;Morning;Medium
2012;Unprovoked;USA;Navigating;M;Adult;N;Morning;Big
2015;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Big
2015;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Big
2006;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Morning;Medium
2007;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2009;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
1961;Unprovoked;USA;Swimming;M;Adult;N;Morning;Medium
2000;Unprovoked;AUSTRALIA;Swimming;M;Adult;N;Morning;Medium
2004;Unprovoked;SOUTH AFRICA;Swimming;M;Adult;N;Morning;Medium
1999;Unprovoked;REUNION;Swimming;M;Adult;Y;Morning;Medium
2008;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
1996;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Medium
2014;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Small
1981;Unprovoked;BAHAMAS;Diving;M;Adult;N;Midday;Small
2013;Unprovoked;FRENCH POLYNESIA;Surfing;M;Adult;N;Midday;Small
1969;Unprovoked;USA;Diving;M;Adult;N;Morning;Medium
2000;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
1941;Provoked;USA;Fishing;M;Adult;N;Night;Small
2017;Unprovoked;USA;Surfing;F;Adult;N;Afternoon;Medium
1962;Unprovoked;NEW ZEALAND;Fishing;F;Adult;N;Afternoon;Small
2007;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
2017;Unprovoked;USA;Surfing;M;Adult;N;Evening;Medium
2003;Unprovoked;USA;Swimming;M;Adult;N;Midday;Small
2015;Unprovoked;USA;Surfing;F;Adult;N;Morning;Medium
2010;Unprovoked;EGYPT;Diving;M;Adult;N;Morning;Medium
2009;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
1962;Provoked;USA;Diving;M;Adult;N;Afternoon;Small
2002;Provoked;USA;Fishing;M;Adult;N;Afternoon;Small
1993;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Big
2011;Unprovoked;BAHAMAS;Diving;M;Adult;N;Afternoon;Medium
1925;Unprovoked;AUSTRALIA;Swimming;M;Adult;Y;Afternoon;Medium
2002;Unprovoked;USA;Fishing;M;Adult;N;Afternoon;Small
2006;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Small
2018;Unprovoked;AUSTRALIA;Swimming;F;Adult;N;Evening;Small
2000;Unprovoked;USA;Fishing;F;Adult;N;Midday;Small
2017;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Midday;Medium
2013;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Morning;Big
2009;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2016;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Medium
2000;Unprovoked;USA;Swimming;M;Adult;N;Morning;Medium
2015;Unprovoked;ECUADOR;Diving;M;Adult;N;Morning;Small
2012;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
2005;Unprovoked;ST. MAARTIN;Surfing;M;Adult;N;Morning;Small
2012;Unprovoked;USA;Swimming;F;Adult;N;Afternoon;Small
2012;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Small
2000;Unprovoked;USA;Swimming;F;Adult;N;Morning;Medium
2009;Unprovoked;USA;Fishing;M;Adult;N;Morning;Medium
2005;Unprovoked;GRAND CAYMAN;Diving;F;Adult;N;Afternoon;Medium
1961;Provoked;USA;Fishing;M;Adult;N;Afternoon;Small
2006;Unprovoked;USA;Navigating;M;Adult;N;Afternoon;Big
1957;Unprovoked;USA;Swimming;M;Adult;Y;Afternoon;Big
1962;Unprovoked;MARSHALL ISLANDS;Fishing;M;Adult;N;Midday;Small
2015;Provoked;USA;Fishing;M;Adult;N;Morning;Medium
2004;Unprovoked;USA;Surfing;M;Adult;Y;Morning;Medium
2015;Unprovoked;AUSTRALIA;Navigating;M;Adult;N;Morning;Small
2010;Unprovoked;VIETNAM;Swimming;F;Adult;N;Afternoon;Small
2003;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Afternoon;Medium
2009;Provoked;USA;Diving;M;Adult;N;Midday;Medium
2016;Unprovoked;USA;Swimming;F;Adult;N;Morning;Medium
2015;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2013;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
2007;Unprovoked;USA;Swimming;M;Adult;N;Morning;Small
2007;Unprovoked;AUSTRALIA;Swimming;F;Adult;N;Afternoon;Medium
1958;Provoked;USA;Swimming;M;Adult;N;Afternoon;Medium
2004;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Afternoon;Medium
2016;Provoked;USA;Fishing;M;Adult;N;Morning;Medium
2016;Unprovoked;COLUMBIA;Diving;M;Adult;N;Morning;Small
2010;Unprovoked;AUSTRALIA;Diving;F;Senior;N;Afternoon;Medium
2013;Unprovoked;AUSTRALIA;Diving;F;Senior;N;Afternoon;Small
2010;Unprovoked;VIETNAM;Swimming;F;Senior;N;Afternoon;Small
2009;Unprovoked;USA;Swimming;M;Senior;Y;Evening;Small
2012;Unprovoked;USA;Surfing;M;Senior;N;Midday;Medium
2016;Unprovoked;AUSTRALIA;Diving;F;Senior;Y;Morning;Medium
2002;Unprovoked;USA;Swimming;F;Senior;N;Morning;Small
1971;Unprovoked;SOUTH AFRICA;Swimming;M;Senior;Y;Morning;Big
2018;Unprovoked;AUSTRALIA;Surfing;M;Senior;N;Morning;Medium
2003;Unprovoked;USA;Swimming;M;Senior;N;Morning;Medium
2016;Unprovoked;USA;Surfing;M;Senior;N;Afternoon;Medium
2012;Unprovoked;USA;Surfing;M;Senior;N;Afternoon;Small
2014;Unprovoked;USA;Swimming;M;Senior;N;Afternoon;Small
2009;Unprovoked;USA;Swimming;M;Senior;N;Evening;Medium
2012;Unprovoked;USA;Diving;M;Senior;N;Morning;Medium
2015;Unprovoked;AUSTRALIA;Surfing;M;Senior;N;Morning;Medium
2012;Unprovoked;AUSTRALIA;Surfing;M;Senior;N;Morning;Medium
1999;Unprovoked;USA;Surfing;M;Senior;N;Morning;Small
1996;Unprovoked;USA;Surfing;F;Senior;N;Afternoon;Small
2004;Provoked;BAHAMAS;Diving;M;Senior;N;Afternoon;Small
2015;Unprovoked;USA;Swimming;M;Senior;N;Afternoon;Small
2016;Unprovoked;USA;Swimming;M;Senior;N;Afternoon;Small
2007;Unprovoked;USA;Diving;F;Senior;N;Morning;Medium
2014;Unprovoked;AUSTRALIA;Swimming;F;Senior;Y;Morning;Medium
2013;Unprovoked;BAHAMAS;Fishing;M;Senior;N;Afternoon;Small
1991;Unprovoked;HONG KONG;Swimming;F;Senior;Y;Morning;Medium
2016;Unprovoked;AUSTRALIA;Surfing;M;Senior;N;Morning;Big
2014;Unprovoked;SOUTH AFRICA;Swimming;M;Senior;Y;Afternoon;Medium
2008;Unprovoked;USA;Swimming;M;Senior;Y;Morning;Medium
1993;Unprovoked;USA;Swimming;F;Senior;N;Evening;Small
2005;Unprovoked;USA;Surfing;F;Senior;N;Afternoon;Small
2010;Unprovoked;USA;Surfing;M;Senior;N;Afternoon;Medium
2015;Unprovoked;USA;Swimming;M;Senior;N;Midday;Small
2013;Unprovoked;JAMAICA;Fishing;M;Senior;Y;Morning;Medium
2007;Unprovoked;USA;Swimming;M;Senior;N;Morning;Small
1993;Provoked;AUSTRALIA;Fishing;M;Senior;N;Afternoon;Small
2018;Unprovoked;AUSTRALIA;Swimming;M;Senior;N;Afternoon;Medium
2000;Unprovoked;USA;Swimming;M;Senior;Y;Afternoon;Medium
2016;Unprovoked;NEW CALEDONIA;Swimming;F;Senior;Y;Morning;Medium
2017;Unprovoked;USA;Surfing;M;Senior;N;Morning;Medium
1993;Unprovoked;SPAIN;Swimming;M;Senior;N;Morning;Small
2010;Unprovoked;EGYPT;Diving;F;Senior;N;Afternoon;Medium
2015;Unprovoked;USA;Fishing;M;Senior;N;Afternoon;Medium
2010;Unprovoked;EGYPT;Diving;F;Senior;Y;Midday;Medium
2015;Unprovoked;USA;Surfing;M;Senior;N;Morning;Medium
2015;Unprovoked;AUSTRALIA;Surfing;M;Senior;N;Morning;Medium
2000;Unprovoked;USA;Swimming;M;Senior;N;Midday;Small
2016;Provoked;AUSTRALIA;Fishing;M;Senior;N;Morning;Small
2013;Unprovoked;SOUTH AFRICA;Swimming;M;Senior;Y;Morning;Big
2004;Unprovoked;SOUTH AFRICA;Swimming;F;Senior;Y;Morning;Big
2003;Unprovoked;AUSTRALIA;Swimming;M;Senior;Y;Morning;Medium
